"","dem_vote","marital_id","state_id"
"948",0,0,"arkansas"
"949",0,1,"arkansas"
"950",0,1,"arkansas"
"951",1,0,"arkansas"
"952",1,0,"arkansas"
"953",0,1,"arkansas"
"954",1,1,"arkansas"
"955",0,1,"arkansas"
"956",1,1,"arkansas"
"957",0,1,"arkansas"
"958",0,1,"arkansas"
"959",1,0,"arkansas"
"960",0,0,"arkansas"
"961",0,1,"arkansas"
"962",0,1,"arkansas"
"963",1,1,"arkansas"
"964",0,0,"arkansas"
"965",1,1,"arkansas"
"966",0,1,"arkansas"
"967",0,0,"arkansas"
"968",0,1,"arkansas"
"969",0,1,"arkansas"
"970",1,1,"arkansas"
"971",0,1,"arkansas"
"972",0,0,"arkansas"
"973",0,0,"arkansas"
"974",0,0,"arkansas"
"975",1,1,"arkansas"
"976",1,1,"arkansas"
"977",0,1,"arkansas"
"978",0,1,"arkansas"
"979",0,1,"arkansas"
"980",0,1,"arkansas"
"981",1,1,"arkansas"
"982",1,0,"arkansas"
"983",0,0,"arkansas"
"984",0,0,"arkansas"
"985",0,1,"arkansas"
"986",1,1,"arkansas"
"987",0,0,"arkansas"
"988",1,0,"arkansas"
"989",0,0,"arkansas"
"990",0,0,"arkansas"
"991",1,0,"arkansas"
"992",1,1,"arkansas"
"993",0,1,"arkansas"
"994",1,0,"arkansas"
"995",1,0,"arkansas"
"996",1,1,"arkansas"
"997",1,1,"arkansas"
"998",0,1,"arkansas"
"999",0,1,"arkansas"
"1000",0,1,"arkansas"
"1001",0,1,"arkansas"
"1002",0,1,"arkansas"
"1003",0,1,"arkansas"
"1004",1,0,"arkansas"
"1005",1,0,"arkansas"
"1006",1,0,"arkansas"
"1007",1,0,"arkansas"
"1008",1,1,"arkansas"
"1009",1,1,"arkansas"
"1010",0,1,"arkansas"
"1011",0,1,"arkansas"
"1012",0,1,"arkansas"
"1013",0,0,"arkansas"
"1014",0,1,"arkansas"
"1015",0,1,"arkansas"
"1016",0,1,"arkansas"
"1017",0,0,"arkansas"
"1018",0,0,"arkansas"
"1019",0,1,"arkansas"
"1020",0,0,"arkansas"
"1021",1,1,"arkansas"
"1022",0,1,"arkansas"
"1023",0,0,"arkansas"
"1024",0,1,"arkansas"
"1025",0,1,"arkansas"
"1026",1,1,"arkansas"
"1027",0,1,"arkansas"
"1028",1,0,"arkansas"
"1029",1,0,"arkansas"
"1030",1,1,"arkansas"
"1031",1,1,"arkansas"
"1032",0,0,"arkansas"
"1033",1,1,"arkansas"
"1034",0,1,"arkansas"
"1035",0,1,"arkansas"
"1036",1,1,"arkansas"
"1037",0,1,"arkansas"
"1038",0,0,"arkansas"
"1039",1,0,"arkansas"
"1040",0,1,"arkansas"
"1041",0,1,"arkansas"
"1042",0,1,"arkansas"
"1043",0,1,"arkansas"
"1044",0,1,"arkansas"
"1045",1,1,"arkansas"
"1046",0,1,"arkansas"
"1047",0,1,"arkansas"
"1048",0,1,"arkansas"
"1049",1,0,"arkansas"
